amfi_code,alpha_annualised,beta,tracking_error_pct
118430,-0.0835,0.014,35.83
118550,0.0667,-0.0,25.37
118560,0.0641,0.0,25.35
118632,0.1754,-0.02,36.28
118650,0.131,-0.004,35.64
118721,0.0563,-0.001,25.39
118770,-0.0734,0.004,33.64
118825,0.3411,-0.051,42.31
118834,0.3054,0.013,48.49
118901,0.0422,-0.001,26.11
118989,0.2509,-0.039,47.55
119092,-0.0952,0.009,35.67
119100,0.2028,0.001,35.19
119270,0.0563,-0.0,25.36
119350,-0.0839,0.009,34.89
119440,0.2063,0.006,34.96
119551,0.3183,0.047,36.95
119598,0.1977,-0.003,42.3
119660,-0.0208,0.012,36.22
119775,0.4442,-0.046,49.52
119830,0.0645,0.013,25.81
120045,0.2939,-0.062,38.82
120125,0.0371,-0.055,36.8
120200,0.1911,0.004,35.55
120310,0.1189,-0.002,26.12
120465,0.0518,0.044,36.7
120503,0.2342,0.043,36.14
120586,0.0537,-0.003,25.43
120594,0.087,0.008,48.65
120716,0.3313,0.018,42.75
120760,0.3169,0.02,36.2
120841,0.0143,0.014,36.6
120847,0.3935,-0.086,46.37
120900,0.3667,-0.001,36.12
122639,0.3646,0.055,42.6
125354,0.3254,0.051,50.16
125497,-0.0718,-0.002,37.8
