amfi_code,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct
118430,19.46,-18.41,
118550,7.58,6.96,
118560,7.13,6.99,
118632,62.29,11.86,
118650,5.37,24.85,
118721,6.69,6.04,
118770,-47.91,-19.31,
118825,37.95,39.43,
118834,61.1,23.19,
118901,2.84,1.56,
118989,58.78,25.2,
119092,-2.66,-14.08,
119100,2.34,5.75,
119270,7.92,5.38,
119350,-27.17,-13.95,
119440,24.13,30.08,
119551,91.21,39.67,
119598,55.08,19.03,
119660,-33.47,-14.34,
119775,40.26,39.07,
119830,9.21,5.25,
120045,76.83,48.16,
120125,20.97,22.21,
120200,19.39,17.45,
120310,11.98,10.97,
120465,10.3,4.5,
120503,-0.1,12.84,
120586,4.7,5.57,
120594,10.84,-11.3,
120716,70.12,40.95,
120760,54.87,22.21,
120841,-1.46,-2.2,
120847,6.18,54.1,
120900,11.29,42.62,
122639,33.29,23.44,
125354,-11.96,16.5,
125497,-20.25,-14.75,
