amfi_code,n_trading_days,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,sortino_ratio,alpha_annualised,beta,max_drawdown_pct,std_dev_ann_pct,var_95_daily_pct,cvar_95_daily_pct,tracking_error_pct,expense_ratio_pct,composite_score,score_rank
118430,1150,19.46,-18.41,,-0.57,-0.93,-0.0835,0.014,-67.57,25.72,-2.624,-3.403,35.83,0.55,12.7,35
118550,1150,7.58,6.96,,0.1,0.18,0.0667,-0.0,-0.71,1.58,-0.135,-0.18,25.37,0.2,56.4,18
118560,1150,7.13,6.99,,-0.06,-0.11,0.0641,0.0,-0.77,1.53,-0.13,-0.167,25.35,0.2,53.0,21
118632,1150,62.29,11.86,,0.42,0.72,0.1754,-0.02,-42.47,25.5,-2.562,-3.199,36.28,0.92,46.4,22
118650,1150,5.37,24.85,,0.26,0.45,0.131,-0.004,-37.53,24.99,-2.479,-3.156,35.64,0.17,61.4,13
118721,1150,6.69,6.04,,-0.6,-1.04,0.0563,-0.001,-0.92,1.5,-0.133,-0.172,25.39,0.21,44.1,24
118770,1150,-47.91,-19.31,,-0.62,-1.01,-0.0734,0.004,-57.3,22.28,-2.393,-2.896,33.64,0.92,7.6,37
118825,1150,37.95,39.43,,0.81,1.37,0.3411,-0.051,-33.43,32.92,-3.13,-4.137,42.31,0.83,74.9,8
118834,1150,61.1,23.19,,0.58,0.98,0.3054,0.013,-52.46,41.56,-4.234,-5.308,48.49,0.69,58.1,16
118901,1150,2.84,1.56,,-0.36,-0.62,0.0422,-0.001,-6.22,6.32,-0.622,-0.787,26.11,0.4,37.2,28
118989,1150,58.78,25.2,,0.45,0.79,0.2509,-0.039,-48.65,39.63,-3.903,-4.822,47.55,0.64,58.8,15
119092,1150,-2.66,-14.08,,-0.63,-1.01,-0.0952,0.009,-69.18,25.35,-2.811,-3.391,35.67,0.54,11.2,36
119100,1150,2.34,5.75,,0.56,0.97,0.2028,0.001,-27.21,24.47,-2.396,-3.051,35.19,0.2,57.7,17
119270,1150,7.92,5.38,,-0.55,-0.99,0.0563,-0.0,-1.2,1.58,-0.137,-0.181,25.36,0.2,42.8,25
119350,1150,-27.17,-13.95,,-0.61,-1.0,-0.0839,0.009,-48.94,24.25,-2.633,-3.184,34.89,0.1,21.2,33
119440,1150,24.13,30.08,,0.59,0.98,0.2063,0.006,-28.6,24.29,-2.375,-3.116,34.96,0.79,66.4,10
119551,1150,91.21,39.67,,0.93,1.61,0.3183,0.047,-36.56,28.01,-2.689,-3.425,36.95,0.84,75.9,6
119598,1150,55.08,19.03,,0.39,0.65,0.1977,-0.003,-44.39,33.83,-3.277,-4.413,42.3,0.53,53.8,20
119660,1150,-33.47,-14.34,,-0.32,-0.53,-0.0208,0.012,-47.02,26.2,-2.716,-3.391,36.22,0.29,24.2,32
119775,1150,40.26,39.07,,0.89,1.49,0.4442,-0.046,-39.45,41.86,-4.206,-5.419,49.52,0.79,77.4,5
119830,1150,9.21,5.25,,0.03,0.05,0.0645,0.013,-12.17,6.52,-0.66,-0.821,25.81,0.32,46.4,22
120045,1150,76.83,48.16,,0.78,1.33,0.2939,-0.062,-23.27,28.05,-2.621,-3.437,38.82,0.44,80.7,3
120125,1150,20.97,22.21,,-0.15,-0.25,0.0371,-0.055,-46.43,25.36,-2.642,-3.244,36.8,0.81,38.9,26
120200,1150,19.39,17.45,,0.51,0.87,0.1911,0.004,-24.57,25.06,-2.529,-3.1,35.55,0.12,64.6,11
120310,1150,11.98,10.97,,0.85,1.53,0.1189,-0.002,-5.22,6.3,-0.574,-0.73,26.12,0.45,64.6,11
120465,1150,10.3,4.5,,-0.02,-0.03,0.0518,0.044,-34.27,27.6,-2.826,-3.553,36.7,0.59,35.8,29
120503,1150,-0.1,12.84,,0.66,1.1,0.2342,0.043,-24.87,26.85,-2.668,-3.42,36.14,0.7999999999999999,61.4,13
120586,1150,4.7,5.57,,-0.77,-1.31,0.0537,-0.003,-1.1,1.55,-0.136,-0.184,25.43,0.37,37.7,27
120594,1150,10.84,-11.3,,0.06,0.09,0.087,0.008,-67.36,41.67,-4.315,-5.486,48.65,0.49,32.3,30
120716,1150,70.12,40.95,,0.78,1.27,0.3313,0.018,-34.39,34.78,-3.585,-4.417,42.75,0.65,75.7,7
120760,1150,54.87,22.21,,0.97,1.66,0.3169,0.02,-25.24,26.38,-2.611,-3.254,36.2,0.1,80.1,4
120841,1150,-1.46,-2.2,,-0.18,-0.29,0.0143,0.014,-41.17,26.76,-2.803,-3.532,36.6,0.61,27.8,31
120847,1150,6.18,54.1,,0.84,1.44,0.3935,-0.086,-39.36,37.42,-3.664,-4.663,46.37,0.4,83.6,2
120900,1150,11.29,42.62,,1.17,1.9,0.3667,-0.001,-27.36,25.73,-2.519,-3.269,36.12,0.1,91.8,1
122639,1150,33.29,23.44,,0.88,1.48,0.3646,0.055,-45.15,35.27,-3.563,-4.493,42.6,0.89,68.8,9
125354,1150,-11.96,16.5,,0.61,1.01,0.3254,0.051,-53.11,44.06,-4.408,-5.668,50.16,0.97,53.9,19
125497,1150,-20.25,-14.75,,-0.49,-0.84,-0.0718,-0.002,-46.61,28.03,-2.837,-3.562,37.8,1.05,14.9,34
