amfi_code,composite_score,score_rank
118430,12.7,35
118550,56.4,18
118560,53.0,21
118632,46.4,22
118650,61.4,13
118721,44.1,24
118770,7.6,37
118825,74.9,8
118834,58.1,16
118901,37.2,28
118989,58.8,15
119092,11.2,36
119100,57.7,17
119270,42.8,25
119350,21.2,33
119440,66.4,10
119551,75.9,6
119598,53.8,20
119660,24.2,32
119775,77.4,5
119830,46.4,22
120045,80.7,3
120125,38.9,26
120200,64.6,11
120310,64.6,11
120465,35.8,29
120503,61.4,13
120586,37.7,27
120594,32.3,30
120716,75.7,7
120760,80.1,4
120841,27.8,31
120847,83.6,2
120900,91.8,1
122639,68.8,9
125354,53.9,19
125497,14.9,34
