amfi_code,sharpe_ratio,sortino_ratio,std_dev_ann_pct
118430,-0.57,-0.93,25.72
118550,0.1,0.18,1.58
118560,-0.06,-0.11,1.53
118632,0.42,0.72,25.5
118650,0.26,0.45,24.99
118721,-0.6,-1.04,1.5
118770,-0.62,-1.01,22.28
118825,0.81,1.37,32.92
118834,0.58,0.98,41.56
118901,-0.36,-0.62,6.32
118989,0.45,0.79,39.63
119092,-0.63,-1.01,25.35
119100,0.56,0.97,24.47
119270,-0.55,-0.99,1.58
119350,-0.61,-1.0,24.25
119440,0.59,0.98,24.29
119551,0.93,1.61,28.01
119598,0.39,0.65,33.83
119660,-0.32,-0.53,26.2
119775,0.89,1.49,41.86
119830,0.03,0.05,6.52
120045,0.78,1.33,28.05
120125,-0.15,-0.25,25.36
120200,0.51,0.87,25.06
120310,0.85,1.53,6.3
120465,-0.02,-0.03,27.6
120503,0.66,1.1,26.85
120586,-0.77,-1.31,1.55
120594,0.06,0.09,41.67
120716,0.78,1.27,34.78
120760,0.97,1.66,26.38
120841,-0.18,-0.29,26.76
120847,0.84,1.44,37.42
120900,1.17,1.9,25.73
122639,0.88,1.48,35.27
125354,0.61,1.01,44.06
125497,-0.49,-0.84,28.03
