amfi_code,var_95_daily_pct,cvar_95_daily_pct
118430,-2.624,-3.403
118550,-0.135,-0.18
118560,-0.13,-0.167
118632,-2.562,-3.199
118650,-2.479,-3.156
118721,-0.133,-0.172
118770,-2.393,-2.896
118825,-3.13,-4.137
118834,-4.234,-5.308
118901,-0.622,-0.787
118989,-3.903,-4.822
119092,-2.811,-3.391
119100,-2.396,-3.051
119270,-0.137,-0.181
119350,-2.633,-3.184
119440,-2.375,-3.116
119551,-2.689,-3.425
119598,-3.277,-4.413
119660,-2.716,-3.391
119775,-4.206,-5.419
119830,-0.66,-0.821
120045,-2.621,-3.437
120125,-2.642,-3.244
120200,-2.529,-3.1
120310,-0.574,-0.73
120465,-2.826,-3.553
120503,-2.668,-3.42
120586,-0.136,-0.184
120594,-4.315,-5.486
120716,-3.585,-4.417
120760,-2.611,-3.254
120841,-2.803,-3.532
120847,-3.664,-4.663
120900,-2.519,-3.269
122639,-3.563,-4.493
125354,-4.408,-5.668
125497,-2.837,-3.562
