amfi_code,date,nav
119551,2022-01-03,55.5223
119551,2022-01-04,55.415
119551,2022-01-05,56.0918
119551,2022-01-06,57.6607
119551,2022-01-07,57.4497
119551,2022-01-10,57.2395
119551,2022-01-11,58.8984
119551,2022-01-12,59.7447
119551,2022-01-13,59.273
119551,2022-01-14,59.8848
119551,2022-01-17,59.4186
119551,2022-01-18,58.9535
119551,2022-01-19,59.243
119551,2022-01-20,57.2356
119551,2022-01-21,55.4903
119551,2022-01-24,54.9595
119551,2022-01-25,53.9881
119551,2022-01-26,54.3235
119551,2022-01-27,53.4658
119551,2022-01-28,52.1363
119551,2022-01-31,53.5407
119551,2022-02-01,53.3529
119551,2022-02-02,53.4473
119551,2022-02-03,52.1064
119551,2022-02-04,51.6247
119551,2022-02-07,51.7565
119551,2022-02-08,50.7129
119551,2022-02-09,51.0841
119551,2022-02-10,50.5602
119551,2022-02-11,50.3228
119551,2022-02-14,49.8057
119551,2022-02-15,51.4939
119551,2022-02-16,51.51
119551,2022-02-17,50.558
119551,2022-02-18,51.3346
119551,2022-02-21,50.235
119551,2022-02-22,50.4518
119551,2022-02-23,48.7002
119551,2022-02-24,47.563
119551,2022-02-25,47.7579
119551,2022-02-28,48.4193
119551,2022-03-01,48.5955
119551,2022-03-02,48.5214
119551,2022-03-03,48.2853
119551,2022-03-04,47.0271
119551,2022-03-07,46.4439
119551,2022-03-08,46.0846
119551,2022-03-09,46.9871
119551,2022-03-10,47.3039
119551,2022-03-11,45.829
119551,2022-03-14,46.1218
119551,2022-03-15,45.8277
119551,2022-03-16,45.2948
119551,2022-03-17,45.8186
119551,2022-03-18,46.6944
119551,2022-03-21,47.5031
119551,2022-03-22,46.8119
119551,2022-03-23,46.5774
119551,2022-03-24,46.881
119551,2022-03-25,47.7302
119551,2022-03-28,47.3451
119551,2022-03-29,47.2131
119551,2022-03-30,46.2992
119551,2022-03-31,45.328
119551,2022-04-01,46.0161
119551,2022-04-04,47.165
119551,2022-04-05,47.1301
119551,2022-04-06,48.0076
119551,2022-04-07,48.3468
119551,2022-04-08,47.8123
119551,2022-04-11,48.1498
119551,2022-04-12,49.5096
119551,2022-04-13,49.5052
119551,2022-04-14,50.9269
119551,2022-04-15,48.5537
119551,2022-04-18,49.299
119551,2022-04-19,49.4037
119551,2022-04-20,49.1652
119551,2022-04-21,49.2737
119551,2022-04-22,47.5383
119551,2022-04-25,47.3767
119551,2022-04-26,47.7076
119551,2022-04-27,49.0032
119551,2022-04-28,48.5733
119551,2022-04-29,47.8934
119551,2022-05-02,47.4874
119551,2022-05-03,48.2963
119551,2022-05-04,48.6089
119551,2022-05-05,48.1724
119551,2022-05-06,48.6442
119551,2022-05-09,48.7562
119551,2022-05-10,49.6334
119551,2022-05-11,49.0338
119551,2022-05-12,48.7718
119551,2022-05-13,48.4547
119551,2022-05-16,47.2051
119551,2022-05-17,47.483
119551,2022-05-18,47.7325
119551,2022-05-19,47.7634
119551,2022-05-20,47.5882
119551,2022-05-23,46.4023
119551,2022-05-24,46.0767
119551,2022-05-25,45.8181
119551,2022-05-26,45.1819
119551,2022-05-27,45.0758
119551,2022-05-30,45.4287
119551,2022-05-31,46.9963
119551,2022-06-01,47.1701
119551,2022-06-02,47.415
119551,2022-06-03,47.3778
119551,2022-06-06,45.7678
119551,2022-06-07,45.7714
119551,2022-06-08,45.8464
119551,2022-06-09,47.9046
119551,2022-06-10,47.7654
119551,2022-06-13,48.0512
119551,2022-06-14,48.0478
119551,2022-06-15,47.0638
119551,2022-06-16,48.0581
119551,2022-06-17,48.7352
119551,2022-06-20,49.4562
119551,2022-06-21,48.6742
119551,2022-06-22,49.9302
119551,2022-06-23,48.6981
119551,2022-06-24,49.2395
119551,2022-06-27,51.2083
119551,2022-06-28,50.3237
119551,2022-06-29,49.8387
119551,2022-06-30,49.9558
119551,2022-07-01,49.5308
119551,2022-07-04,48.1759
119551,2022-07-05,48.2621
119551,2022-07-06,47.3661
119551,2022-07-07,47.7961
119551,2022-07-08,47.0317
119551,2022-07-11,48.3699
119551,2022-07-12,47.7149
119551,2022-07-13,47.4648
119551,2022-07-14,48.1862
119551,2022-07-15,47.1454
119551,2022-07-18,47.3646
119551,2022-07-19,48.5053
119551,2022-07-20,47.1288
119551,2022-07-21,47.3116
119551,2022-07-22,47.5592
119551,2022-07-25,48.2549
119551,2022-07-26,47.2073
119551,2022-07-27,46.1115
119551,2022-07-28,46.5703
119551,2022-07-29,46.8452
119551,2022-08-01,47.0824
119551,2022-08-02,47.4022
119551,2022-08-03,46.8483
119551,2022-08-04,47.0702
119551,2022-08-05,47.3446
119551,2022-08-08,46.7622
119551,2022-08-09,48.3586
119551,2022-08-10,48.7979
119551,2022-08-11,47.7786
119551,2022-08-12,48.3698
119551,2022-08-15,47.5481
119551,2022-08-16,48.2481
119551,2022-08-17,49.2811
119551,2022-08-18,48.5805
119551,2022-08-19,49.4499
119551,2022-08-22,49.8448
119551,2022-08-23,50.6101
119551,2022-08-24,52.3661
119551,2022-08-25,52.1639
119551,2022-08-26,51.4852
119551,2022-08-29,50.6894
119551,2022-08-30,49.9732
119551,2022-08-31,49.9316
119551,2022-09-01,50.266
119551,2022-09-02,50.5443
119551,2022-09-05,51.3249
119551,2022-09-06,51.3654
119551,2022-09-07,52.7379
119551,2022-09-08,52.516
119551,2022-09-09,55.1165
119551,2022-09-12,55.7678
119551,2022-09-13,54.9384
119551,2022-09-14,53.9099
119551,2022-09-15,54.408
119551,2022-09-16,54.2194
119551,2022-09-19,54.9464
119551,2022-09-20,55.4449
119551,2022-09-21,55.403
119551,2022-09-22,54.5894
119551,2022-09-23,53.1312
119551,2022-09-26,52.7337
119551,2022-09-27,53.5759
119551,2022-09-28,53.8121
119551,2022-09-29,52.6353
119551,2022-09-30,52.8287
119551,2022-10-03,53.2244
119551,2022-10-04,52.4072
119551,2022-10-05,52.5813
119551,2022-10-06,52.6656
119551,2022-10-07,51.6114
119551,2022-10-10,51.9725
119551,2022-10-11,52.5259
119551,2022-10-12,53.5791
119551,2022-10-13,54.6252
119551,2022-10-14,53.3009
119551,2022-10-17,52.4308
119551,2022-10-18,52.946
119551,2022-10-19,53.465
119551,2022-10-20,53.9904
119551,2022-10-21,57.7646
119551,2022-10-24,58.3903
119551,2022-10-25,59.6162
119551,2022-10-26,60.6731
119551,2022-10-27,61.4182
119551,2022-10-28,61.1038
119551,2022-10-31,61.9725
119551,2022-11-01,61.1448
119551,2022-11-02,60.9181
119551,2022-11-03,60.4198
119551,2022-11-04,60.5424
119551,2022-11-07,63.0984
119551,2022-11-08,61.0127
119551,2022-11-09,61.8003
119551,2022-11-10,60.0406
119551,2022-11-11,59.5639
119551,2022-11-14,60.7646
119551,2022-11-15,60.8686
119551,2022-11-16,59.7216
119551,2022-11-17,58.9859
119551,2022-11-18,59.7402
119551,2022-11-21,58.988
119551,2022-11-22,59.2506
119551,2022-11-23,59.3321
119551,2022-11-24,58.6692
119551,2022-11-25,60.9659
119551,2022-11-28,61.6954
119551,2022-11-29,59.4807
119551,2022-11-30,59.7134
119551,2022-12-01,59.0353
119551,2022-12-02,59.9739
119551,2022-12-05,59.1516
119551,2022-12-06,59.0623
119551,2022-12-07,59.632
119551,2022-12-08,60.5944
119551,2022-12-09,59.3189
119551,2022-12-12,58.9947
119551,2022-12-13,58.5232
119551,2022-12-14,57.8674
119551,2022-12-15,59.7385
119551,2022-12-16,60.2072
119551,2022-12-19,58.8742
119551,2022-12-20,59.8796
119551,2022-12-21,62.2002
119551,2022-12-22,63.3907
119551,2022-12-23,61.6922
119551,2022-12-26,61.1888
119551,2022-12-27,62.6181
119551,2022-12-28,61.8553
119551,2022-12-29,62.3838
119551,2022-12-30,63.2883
119551,2023-01-02,62.2675
119551,2023-01-03,62.2354
119551,2023-01-04,58.639
119551,2023-01-05,57.5903
119551,2023-01-06,57.3605
119551,2023-01-09,56.104
119551,2023-01-10,57.7837
119551,2023-01-11,56.3283
119551,2023-01-12,55.9135
119551,2023-01-13,56.0761
119551,2023-01-16,57.562
119551,2023-01-17,56.1063
119551,2023-01-18,57.3122
119551,2023-01-19,57.3546
119551,2023-01-20,56.3731
119551,2023-01-23,56.8734
