fund_house,quarter,aum_lakh_crore,num_schemes
SBI MF,2022Q1,6.29,299
SBI MF,2022Q2,5.82,114
SBI MF,2022Q3,6.34,232
SBI MF,2022Q4,6.88,168
SBI MF,2023Q1,7.33,246
SBI MF,2023Q2,7.95,148
SBI MF,2023Q3,8.25,263
SBI MF,2023Q4,8.54,156
SBI MF,2024Q1,9.07,257
SBI MF,2024Q2,9.68,166
SBI MF,2024Q3,10.49,250
SBI MF,2024Q4,10.52,213
SBI MF,2025Q1,11.33,58
SBI MF,2025Q2,11.25,191
SBI MF,2025Q3,11.24,123
SBI MF,2025Q4,12.47,71
ICICI Pru MF,2022Q1,4.62,84
ICICI Pru MF,2022Q2,5.03,96
ICICI Pru MF,2022Q3,5.33,61
ICICI Pru MF,2022Q4,5.56,86
ICICI Pru MF,2023Q1,5.93,287
ICICI Pru MF,2023Q2,7.33,93
ICICI Pru MF,2023Q3,7.18,71
ICICI Pru MF,2023Q4,7.92,188
ICICI Pru MF,2024Q1,7.95,136
ICICI Pru MF,2024Q2,8.35,104
ICICI Pru MF,2024Q3,8.84,286
ICICI Pru MF,2024Q4,9.3,59
ICICI Pru MF,2025Q1,9.29,219
ICICI Pru MF,2025Q2,9.87,265
ICICI Pru MF,2025Q3,10.41,166
ICICI Pru MF,2025Q4,10.32,287
HDFC MF,2022Q1,4.21,272
HDFC MF,2022Q2,4.53,284
HDFC MF,2022Q3,5.05,272
HDFC MF,2022Q4,5.03,229
HDFC MF,2023Q1,5.4,188
HDFC MF,2023Q2,5.85,57
HDFC MF,2023Q3,6.18,292
HDFC MF,2023Q4,6.75,137
HDFC MF,2024Q1,6.94,264
HDFC MF,2024Q2,7.38,273
HDFC MF,2024Q3,7.86,102
HDFC MF,2024Q4,7.79,192
HDFC MF,2025Q1,8.55,77
HDFC MF,2025Q2,8.62,261
HDFC MF,2025Q3,8.53,191
HDFC MF,2025Q4,9.34,139
Nippon India MF,2022Q1,2.6,218
Nippon India MF,2022Q2,2.77,106
Nippon India MF,2022Q3,3.06,102
Nippon India MF,2022Q4,3.35,215
Nippon India MF,2023Q1,3.61,50
Nippon India MF,2023Q2,3.6,109
Nippon India MF,2023Q3,4.0,271
Nippon India MF,2023Q4,4.22,125
Nippon India MF,2024Q1,4.65,95
Nippon India MF,2024Q2,4.69,53
Nippon India MF,2024Q3,4.95,64
Nippon India MF,2024Q4,5.18,130
Nippon India MF,2025Q1,5.09,165
Nippon India MF,2025Q2,5.29,61
Nippon India MF,2025Q3,5.7,50
Nippon India MF,2025Q4,5.76,126
Kotak MF,2022Q1,2.08,246
Kotak MF,2022Q2,2.38,171
Kotak MF,2022Q3,2.58,144
Kotak MF,2022Q4,2.91,176
Kotak MF,2023Q1,2.97,298
Kotak MF,2023Q2,3.13,299
Kotak MF,2023Q3,3.26,71
Kotak MF,2023Q4,3.51,103
Kotak MF,2024Q1,3.62,282
Kotak MF,2024Q2,3.71,174
Kotak MF,2024Q3,4.11,107
