month,sip_inflow_crore,active_sip_accounts_crore,new_sip_accounts_lakh,sip_aum_lakh_crore,yoy_growth_pct
2022-01,11339.0,4.57,21.3,26.08,3.1
2022-02,11405.0,4.58,21.1,26.23,0.6
2022-03,12074.0,4.75,26.7,27.77,5.9
2022-04,12054.0,4.74,28.8,27.72,-0.2
2022-05,12828.0,4.93,21.7,29.51,6.4
2022-06,13633.0,5.13,26.0,31.36,6.3
2022-07,13761.0,5.16,25.9,31.65,0.9
2022-08,14089.0,5.24,26.0,32.4,2.4
2022-09,14451.0,5.33,24.4,33.24,2.6
2022-10,14804.0,5.41,25.7,34.05,2.4
2022-11,14969.0,5.45,29.8,34.43,1.1
2022-12,15557.0,5.59,30.7,35.78,3.9
2023-01,16185.0,5.75,16.6,37.23,4.0
2023-02,15744.0,5.64,15.2,36.21,-2.7
2023-03,17472.0,6.06,23.8,40.19,11.0
2023-04,17180.0,5.99,22.0,39.51,-1.7
2023-05,17338.0,6.03,22.7,39.88,0.9
2023-06,19039.0,6.44,22.8,43.79,9.8
2023-07,18741.0,6.37,30.2,43.1,-1.6
2023-08,19521.0,6.56,25.8,44.9,4.2
2023-09,19245.0,6.49,22.5,44.26,-1.4
2023-10,20391.0,6.77,22.7,46.9,6.0
2023-11,20653.0,6.83,29.4,47.5,1.3
2023-12,20662.0,6.84,18.7,47.52,0.0
2024-01,20534.0,6.8,15.3,47.23,-0.6
2024-02,22060.0,7.18,23.1,50.74,7.4
2024-03,21987.0,7.16,31.3,50.57,-0.3
2024-04,22962.0,7.39,28.8,52.81,4.4
2024-05,22776.0,7.35,21.9,52.39,-0.8
2024-06,23312.0,7.48,18.0,53.62,2.4
2024-07,23912.0,7.63,24.7,55.0,2.6
2024-08,24984.0,7.89,30.0,57.46,4.5
2024-09,24296.0,7.72,27.2,55.88,-2.8
2024-10,24876.0,7.86,24.2,57.21,2.4
2024-11,25251.0,7.95,27.5,58.08,1.5
2024-12,25643.0,8.05,31.4,58.98,1.6
2025-01,26297.0,8.21,24.4,60.48,2.6
2025-02,27193.0,8.42,24.4,62.54,3.4
2025-03,27023.0,8.38,23.1,62.15,-0.6
2025-04,28350.0,8.71,24.6,65.21,4.9
2025-05,28550.0,8.75,25.8,65.66,0.7
2025-06,28406.0,8.72,18.5,65.33,-0.5
2025-07,28581.0,8.76,24.7,65.74,0.6
2025-08,29596.0,9.01,15.2,68.07,3.6
2025-09,30320.0,9.18,30.9,69.74,2.4
2025-10,30566.0,9.24,15.6,70.3,0.8
2025-11,30302.0,9.18,31.3,69.7,-0.9
2025-12,30942.0,9.34,31.5,71.17,2.1
