month,category,net_inflow_crore
2024-04,Large Cap,1730.0
2024-05,Large Cap,2623.0
2024-06,Large Cap,2346.0
2024-07,Large Cap,2356.0
2024-08,Large Cap,2446.0
2024-09,Large Cap,1902.0
2024-10,Large Cap,2269.0
2024-11,Large Cap,3055.0
2024-12,Large Cap,2625.0
2025-01,Large Cap,3042.0
2025-02,Large Cap,2056.0
2025-03,Large Cap,2595.0
2024-04,Mid Cap,3188.0
2024-05,Mid Cap,5011.0
2024-06,Mid Cap,3163.0
2024-07,Mid Cap,4381.0
2024-08,Mid Cap,3569.0
2024-09,Mid Cap,4468.0
2024-10,Mid Cap,3038.0
2024-11,Mid Cap,3509.0
2024-12,Mid Cap,4166.0
2025-01,Mid Cap,3754.0
2025-02,Mid Cap,3899.0
2025-03,Mid Cap,3564.0
2024-04,Small Cap,4077.0
2024-05,Small Cap,4045.0
2024-06,Small Cap,3727.0
2024-07,Small Cap,5478.0
2024-08,Small Cap,5235.0
2024-09,Small Cap,5109.0
2024-10,Small Cap,4654.0
2024-11,Small Cap,4841.0
2024-12,Small Cap,3774.0
2025-01,Small Cap,3525.0
2025-02,Small Cap,5014.0
2025-03,Small Cap,4513.0
2024-04,Flexi Cap,6099.0
2024-05,Flexi Cap,5453.0
2024-06,Flexi Cap,4559.0
2024-07,Flexi Cap,4231.0
2024-08,Flexi Cap,5566.0
2024-09,Flexi Cap,5767.0
2024-10,Flexi Cap,5570.0
2024-11,Flexi Cap,4378.0
2024-12,Flexi Cap,5315.0
2025-01,Flexi Cap,5351.0
2025-02,Flexi Cap,4626.0
2025-03,Flexi Cap,6170.0
2024-04,ELSS,1184.0
2024-05,ELSS,1484.0
2024-06,ELSS,1281.0
2024-07,ELSS,1183.0
2024-08,ELSS,1234.0
2024-09,ELSS,836.0
2024-10,ELSS,1210.0
2024-11,ELSS,791.0
2024-12,ELSS,1117.0
2025-01,ELSS,1283.0
2025-02,ELSS,1140.0
2025-03,ELSS,1484.0
2024-04,Liquid,-14823.0
2024-05,Liquid,-13365.0
2024-06,Liquid,-15114.0
2024-07,Liquid,-14003.0
2024-08,Liquid,-15518.0
2024-09,Liquid,-13419.0
2024-10,Liquid,-12199.0
2024-11,Liquid,-14544.0
2024-12,Liquid,-11717.0
2025-01,Liquid,-15438.0
2025-02,Liquid,-11918.0
2025-03,Liquid,-13072.0
2024-04,Short Duration,781.0
2024-05,Short Duration,894.0
2024-06,Short Duration,890.0
2024-07,Short Duration,915.0
2024-08,Short Duration,555.0
2024-09,Short Duration,674.0
2024-10,Short Duration,772.0
2024-11,Short Duration,836.0
2024-12,Short Duration,878.0
2025-01,Short Duration,754.0
2025-02,Short Duration,901.0
2025-03,Short Duration,547.0
2024-04,Balanced Advantage,1752.0
2024-05,Balanced Advantage,2037.0
2024-06,Balanced Advantage,2893.0
2024-07,Balanced Advantage,2506.0
2024-08,Balanced Advantage,2075.0
2024-09,Balanced Advantage,2758.0
2024-10,Balanced Advantage,1881.0
2024-11,Balanced Advantage,1961.0
2024-12,Balanced Advantage,2293.0
2025-01,Balanced Advantage,2240.0
2025-02,Balanced Advantage,2338.0
2025-03,Balanced Advantage,2086.0
2024-04,Aggressive Hybrid,1988.0
2024-05,Aggressive Hybrid,1836.0
2024-06,Aggressive Hybrid,2132.0
2024-07,Aggressive Hybrid,2021.0
2024-08,Aggressive Hybrid,1623.0
2024-09,Aggressive Hybrid,1483.0
2024-10,Aggressive Hybrid,2091.0
2024-11,Aggressive Hybrid,1504.0
2024-12,Aggressive Hybrid,2087.0
2025-01,Aggressive Hybrid,1729.0
2025-02,Aggressive Hybrid,1970.0
2025-03,Aggressive Hybrid,1635.0
2024-04,Index Fund,6961.0
2024-05,Index Fund,7628.0
2024-06,Index Fund,6075.0
2024-07,Index Fund,5637.0
2024-08,Index Fund,5727.0
2024-09,Index Fund,4213.0
2024-10,Index Fund,5680.0
2024-11,Index Fund,7701.0
2024-12,Index Fund,4848.0
2025-01,Index Fund,5985.0
2025-02,Index Fund,6644.0
2025-03,Index Fund,6621.0
