month,equity_folios_crore,debt_folios_crore,hybrid_folios_crore,total_folios_crore
2022-01,9.0,1.5,3.0,13.5
2022-02,9.2,1.51,3.03,13.74
2022-03,9.4,1.51,3.07,13.98
2022-04,9.59,1.52,3.1,14.21
2022-05,9.79,1.52,3.14,14.45
2022-06,9.99,1.53,3.17,14.69
2022-07,10.19,1.53,3.2,14.93
2022-08,10.39,1.54,3.24,15.17
2022-09,10.58,1.55,3.27,15.4
2022-10,10.78,1.55,3.31,15.64
2022-11,10.98,1.56,3.34,15.88
2022-12,11.18,1.56,3.37,16.12
2023-01,11.38,1.57,3.41,16.36
2023-02,11.58,1.57,3.44,16.6
2023-03,11.77,1.58,3.48,16.83
2023-04,11.97,1.58,3.51,17.07
2023-05,12.17,1.59,3.54,17.31
2023-06,12.37,1.6,3.58,17.55
2023-07,12.57,1.6,3.61,17.79
2023-08,12.76,1.61,3.65,18.02
2023-09,12.96,1.61,3.68,18.26
2023-10,13.16,1.62,3.71,18.5
2023-11,13.36,1.62,3.75,18.74
2023-12,13.56,1.63,3.78,18.98
2024-01,13.75,1.64,3.82,19.21
2024-02,13.95,1.64,3.85,19.45
2024-03,14.15,1.65,3.88,19.69
2024-04,14.35,1.65,3.92,19.93
2024-05,14.55,1.66,3.95,20.17
2024-06,14.75,1.66,3.98,20.41
2024-07,14.94,1.67,4.02,20.64
2024-08,15.14,1.68,4.05,20.88
2024-09,15.34,1.68,4.09,21.12
2024-10,15.54,1.69,4.12,21.36
2024-11,15.74,1.69,4.15,21.6
2024-12,15.93,1.7,4.19,21.83
2025-01,16.13,1.7,4.22,22.07
2025-02,16.33,1.71,4.26,22.31
2025-03,16.53,1.72,4.29,22.55
2025-04,16.73,1.72,4.32,22.79
2025-05,16.92,1.73,4.36,23.02
2025-06,17.12,1.73,4.39,23.26
2025-07,17.32,1.74,4.43,23.5
2025-08,17.52,1.74,4.46,23.74
2025-09,17.72,1.75,4.49,23.98
2025-10,17.92,1.75,4.53,24.22
2025-11,18.11,1.76,4.56,24.45
2025-12,18.31,1.77,4.6,24.69
2026-01,18.51,1.77,4.63,24.93
2026-02,18.71,1.78,4.66,25.17
2026-03,18.91,1.78,4.7,25.41
2026-04,19.1,1.79,4.73,25.64
2026-05,19.3,1.79,4.77,25.88
