amfi_code,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,morningstar_rating,aum_crore
119551,10.68,15.63,13.14,14.46,1.17,0.93,5.07,7.12,1.8,-24.63,5,18479.0
120503,9.15,8.98,11.63,6.53,2.45,1.16,1.46,1.74,1.7,-34.08,4,5470.0
118632,11.72,11.23,9.34,8.35,2.88,1.05,2.96,3.99,1.6,-10.19,5,4346.0
119092,8.8,11.61,7.43,8.78,2.83,1.07,3.19,4.24,1.6,-28.61,5,23572.0
120841,17.66,13.65,12.91,9.82,3.83,1.06,4.21,4.93,1.7,-29.26,5,16445.0
125497,14.85,11.73,11.38,7.82,3.91,1.03,3.08,4.57,1.7,-29.6,5,21716.0
118834,15.65,17.64,15.82,13.68,3.96,1.0,4.45,5.1,2.5,-22.47,5,13610.0
120716,23.73,15.29,15.19,11.78,3.52,0.72,4.0,5.5,2.2,-24.32,5,19403.0
120465,19.62,15.79,14.61,13.55,2.24,0.73,5.16,7.23,1.8,-33.54,5,10792.0
120586,-2.15,5.53,2.75,1.82,3.71,1.06,-9.67,-11.45,0.1,-23.83,1,8508.0
125354,19.91,24.8,17.82,22.64,2.16,0.8,6.54,8.43,2.8,-26.15,5,6787.0
120847,18.87,18.33,17.74,16.67,1.66,0.8,5.14,6.01,2.3,-34.35,5,6297.0
119775,19.64,19.33,20.74,18.09,1.24,0.8,4.93,7.35,2.6,-25.44,5,3922.0
119598,10.74,12.86,15.46,8.94,3.92,0.93,3.03,3.5,2.1,-25.32,5,3864.0
118825,21.72,16.12,14.53,14.8,1.32,1.09,4.58,5.25,2.1,-18.17,5,21109.0
122639,9.45,17.43,15.67,14.54,2.89,0.78,4.97,5.8,2.2,-26.58,5,18365.0
118989,25.16,20.88,21.65,17.81,3.06,0.84,5.75,6.72,2.5,-30.76,5,21112.0
120594,23.98,19.92,17.94,17.48,2.44,0.72,5.16,6.87,2.6,-16.52,5,3419.0
118550,0.35,6.98,4.05,4.88,2.1,1.22,4.81,6.54,0.1,-31.69,5,18642.0
119270,6.65,6.83,5.09,5.77,1.06,0.95,3.32,4.93,0.1,-14.43,5,16516.0
118560,8.01,7.09,3.07,5.42,1.67,1.28,5.94,8.85,0.1,-20.62,5,10565.0
118721,11.64,1.89,1.11,-1.64,3.53,0.96,-46.11,-66.99,0.1,-27.38,1,24152.0
120310,4.01,9.96,5.39,6.07,3.89,0.73,8.66,11.74,0.4,-10.46,5,5497.0
119830,7.75,3.86,5.11,-0.1,3.97,1.16,-6.59,-9.49,0.4,-34.48,1,17032.0
118901,10.98,4.78,3.03,2.67,2.1,1.06,-4.31,-5.42,0.4,-15.88,1,11033.0
120125,15.29,12.94,10.5,9.86,3.08,0.93,4.03,5.95,1.6,-19.72,5,14574.0
119440,7.78,11.07,8.85,9.55,1.51,1.17,3.04,3.72,1.5,-12.22,5,18114.0
118770,10.45,10.69,10.99,6.94,3.75,1.21,2.99,3.95,1.4,-28.43,5,8566.0
120045,14.69,13.1,11.24,9.3,3.8,1.2,3.88,4.33,1.7,-28.65,5,24422.0
119660,17.84,9.7,9.6,6.78,2.92,0.77,2.0,2.74,1.6,-15.66,5,11563.0
118430,13.63,12.41,11.41,10.18,2.24,1.3,3.7,4.51,1.6,-21.76,5,8859.0
120200,11.38,8.87,11.86,5.13,3.74,1.07,1.48,2.19,1.6,-27.01,4,5053.0
119350,12.83,11.54,11.34,10.26,1.28,0.71,3.15,4.53,1.6,-14.43,5,2379.0
118650,17.62,10.44,11.92,8.47,1.96,0.8,2.46,3.47,1.6,-22.12,5,4563.0
120900,16.92,14.33,6.72,10.95,3.39,1.2,4.9,5.51,1.6,-31.49,5,19158.0
119100,13.49,6.11,8.43,2.6,3.5,1.18,-0.24,-0.28,1.6,-23.73,3,24249.0
120760,13.55,15.06,13.34,11.87,3.19,1.15,5.35,7.88,1.6,-17.73,5,20822.0
