investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV000001,2025-01-09,120200,SIP,5000,Tamil Nadu,Chennai,T30,46-55,Female,26.4,Mandate,Verified
INV000001,2023-09-17,119440,SIP,25000,Tamil Nadu,Chennai,T30,46-55,Male,26.4,Mandate,Verified
INV000001,2025-05-25,120200,Redemption,10000,Tamil Nadu,Chennai,T30,46-55,Male,26.4,Net Banking,Pending
INV000001,2022-05-05,119270,SIP,500,Tamil Nadu,Chennai,T30,46-55,Male,26.4,Mandate,Verified
INV000001,2024-06-24,120594,SIP,500,Tamil Nadu,Chennai,T30,46-55,Male,26.4,UPI,Verified
INV000001,2023-02-06,120586,SIP,10000,Tamil Nadu,Chennai,T30,46-55,Male,26.4,UPI,Verified
INV000001,2026-01-02,118901,Redemption,25000,Tamil Nadu,Chennai,T30,46-55,Female,26.4,Net Banking,Verified
INV000001,2026-01-14,120200,Lumpsum,50000,Tamil Nadu,Chennai,T30,46-55,Male,26.4,Mandate,Verified
INV000001,2023-12-16,118632,SIP,2500,Tamil Nadu,Chennai,T30,46-55,Female,26.4,UPI,Verified
INV000001,2024-01-31,119598,Lumpsum,50000,Tamil Nadu,Chennai,T30,46-55,Female,26.4,Net Banking,Verified
INV000001,2025-08-27,119551,SIP,5000,Tamil Nadu,Chennai,T30,46-55,Female,26.4,UPI,Verified
INV000001,2023-02-08,120200,SIP,500,Tamil Nadu,Chennai,T30,46-55,Male,26.4,UPI,Verified
INV000001,2024-07-19,118825,Lumpsum,25000,Tamil Nadu,Chennai,T30,46-55,Female,26.4,Net Banking,Verified
INV000001,2022-08-11,125354,SIP,25000,Tamil Nadu,Chennai,T30,46-55,Female,26.4,UPI,Verified
INV000001,2022-06-19,120900,SIP,5000,Tamil Nadu,Chennai,T30,46-55,Female,26.4,Cheque,Verified
INV000001,2024-06-30,118834,SIP,5000,Tamil Nadu,Chennai,T30,46-55,Female,26.4,UPI,Verified
INV000001,2024-10-26,118632,SIP,5000,Tamil Nadu,Chennai,T30,46-55,Male,26.4,Cheque,Verified
INV000002,2023-06-12,120586,SIP,10000,Tamil Nadu,Chennai,T30,56+,Male,4.1,UPI,Verified
INV000002,2025-08-17,119350,SIP,25000,Tamil Nadu,Chennai,T30,56+,Female,4.1,UPI,Verified
INV000002,2022-01-16,119350,SIP,10000,Tamil Nadu,Chennai,T30,56+,Male,4.1,Net Banking,Verified
INV000002,2023-10-17,118430,SIP,2000,Tamil Nadu,Chennai,T30,56+,Female,4.1,Mandate,Verified
INV000002,2025-06-09,120841,SIP,25000,Tamil Nadu,Chennai,T30,56+,Male,4.1,Net Banking,Verified
INV000002,2024-05-02,120503,SIP,1000,Tamil Nadu,Chennai,T30,56+,Male,4.1,Net Banking,Verified
INV000002,2022-09-22,120200,Lumpsum,500000,Tamil Nadu,Chennai,T30,56+,Male,4.1,UPI,Verified
INV000002,2024-10-27,120594,SIP,1000,Tamil Nadu,Chennai,T30,56+,Male,4.1,Mandate,Verified
INV000002,2022-02-01,120586,SIP,5000,Tamil Nadu,Chennai,T30,56+,Female,4.1,UPI,Verified
INV000002,2025-08-05,118721,Lumpsum,10000,Tamil Nadu,Chennai,T30,56+,Male,4.1,UPI,Pending
