amfi_code,stock_symbol,sector,weight_pct,as_of_date
119551,HDFC BANK,Financials,17.43,2025-12-31
119551,TITAN,Consumer,4.6,2025-12-31
119551,HCLTECH,IT,3.39,2025-12-31
119551,RELIANCE,Energy,20.58,2025-12-31
119551,MARUTI,Auto,5.57,2025-12-31
119551,KOTAKBANK,Financials,7.75,2025-12-31
119551,LT,Industrials,7.26,2025-12-31
119551,INFY,IT,14.04,2025-12-31
119551,ICICI BANK,Financials,12.35,2025-12-31
119551,ITC,FMCG,7.02,2025-12-31
120503,BAJFINANCE,Financials,9.92,2025-12-31
120503,LT,Industrials,11.9,2025-12-31
120503,ASIANPAINT,Materials,5.95,2025-12-31
120503,HCLTECH,IT,5.56,2025-12-31
120503,WIPRO,IT,7.14,2025-12-31
120503,MARUTI,Auto,9.13,2025-12-31
120503,KOTAKBANK,Financials,12.7,2025-12-31
120503,NTPC,Utilities,8.33,2025-12-31
120503,INFY,IT,23.02,2025-12-31
120503,POWERGRID,Utilities,6.35,2025-12-31
118632,AXISBANK,Financials,11.36,2025-12-31
118632,ONGC,Energy,5.52,2025-12-31
118632,KOTAKBANK,Financials,10.39,2025-12-31
118632,ASIANPAINT,Materials,4.87,2025-12-31
118632,NTPC,Utilities,6.82,2025-12-31
118632,LT,Industrials,9.74,2025-12-31
118632,MARUTI,Auto,7.47,2025-12-31
118632,TCS,IT,15.91,2025-12-31
118632,ITC,FMCG,9.42,2025-12-31
118632,BHARTI AIRTEL,Telecom,12.34,2025-12-31
118632,TITAN,Consumer,6.17,2025-12-31
119092,TITAN,Consumer,5.15,2025-12-31
119092,WIPRO,IT,4.88,2025-12-31
119092,TCS,IT,13.28,2025-12-31
119092,NTPC,Utilities,5.69,2025-12-31
119092,SUNPHARMA,Healthcare,7.32,2025-12-31
119092,ASIANPAINT,Materials,4.07,2025-12-31
119092,BHARTI AIRTEL,Telecom,10.3,2025-12-31
119092,RELIANCE,Energy,23.04,2025-12-31
119092,INFY,IT,15.72,2025-12-31
119092,POWERGRID,Utilities,4.34,2025-12-31
119092,MARUTI,Auto,6.23,2025-12-31
120841,ICICI BANK,Financials,16.67,2025-12-31
120841,TITAN,Consumer,6.21,2025-12-31
120841,ONGC,Energy,5.56,2025-12-31
120841,NTPC,Utilities,6.86,2025-12-31
120841,WIPRO,IT,5.88,2025-12-31
120841,TCS,IT,16.01,2025-12-31
120841,SUNPHARMA,Healthcare,8.82,2025-12-31
120841,INFY,IT,18.95,2025-12-31
120841,HCLTECH,IT,4.58,2025-12-31
120841,KOTAKBANK,Financials,10.46,2025-12-31
125497,TCS,IT,12.41,2025-12-31
125497,INFY,IT,14.68,2025-12-31
125497,AXISBANK,Financials,8.86,2025-12-31
125497,KOTAKBANK,Financials,8.1,2025-12-31
125497,NTPC,Utilities,5.32,2025-12-31
125497,HDFC BANK,Financials,18.23,2025-12-31
125497,BAJFINANCE,Financials,6.33,2025-12-31
125497,ONGC,Energy,4.3,2025-12-31
125497,ITC,FMCG,7.34,2025-12-31
125497,TITAN,Consumer,4.81,2025-12-31
125497,BHARTI AIRTEL,Telecom,9.62,2025-12-31
118834,AXISBANK,Financials,9.31,2025-12-31
118834,MARUTI,Auto,6.12,2025-12-31
118834,HDFC BANK,Financials,19.15,2025-12-31
118834,LT,Industrials,7.98,2025-12-31
118834,BHARTI AIRTEL,Telecom,10.11,2025-12-31
118834,KOTAKBANK,Financials,8.51,2025-12-31
118834,SUNPHARMA,Healthcare,7.18,2025-12-31
118834,BAJFINANCE,Financials,6.65,2025-12-31
118834,TCS,IT,13.03,2025-12-31
118834,ITC,FMCG,7.71,2025-12-31
118834,POWERGRID,Utilities,4.26,2025-12-31
120716,TCS,IT,12.83,2025-12-31
120716,BHARTI AIRTEL,Telecom,9.95,2025-12-31
120716,POWERGRID,Utilities,4.19,2025-12-31
120716,WIPRO,IT,4.71,2025-12-31
120716,RELIANCE,Energy,22.25,2025-12-31
120716,HCLTECH,IT,3.66,2025-12-31
120716,INFY,IT,15.18,2025-12-31
120716,KOTAKBANK,Financials,8.38,2025-12-31
120716,HDFC BANK,Financials,18.85,2025-12-31
120465,ICICI BANK,Financials,21.16,2025-12-31
120465,POWERGRID,Utilities,6.64,2025-12-31
120465,TCS,IT,20.33,2025-12-31
120465,HCLTECH,IT,5.81,2025-12-31
120465,TITAN,Consumer,7.88,2025-12-31
120465,BAJFINANCE,Financials,10.37,2025-12-31
120465,ITC,FMCG,12.03,2025-12-31
120465,BHARTI AIRTEL,Telecom,15.77,2025-12-31
120586,AXISBANK,Financials,13.78,2025-12-31
120586,TCS,IT,19.29,2025-12-31
120586,NTPC,Utilities,8.27,2025-12-31
120586,LT,Industrials,11.81,2025-12-31
120586,ONGC,Energy,6.69,2025-12-31
120586,HCLTECH,IT,5.51,2025-12-31
120586,SUNPHARMA,Healthcare,10.63,2025-12-31
120586,BHARTI AIRTEL,Telecom,14.96,2025-12-31
120586,MARUTI,Auto,9.06,2025-12-31
125354,SUNPHARMA,Healthcare,9.51,2025-12-31
125354,RELIANCE,Energy,29.93,2025-12-31
125354,WIPRO,IT,6.34,2025-12-31
125354,BHARTI AIRTEL,Telecom,13.38,2025-12-31
125354,ONGC,Energy,5.99,2025-12-31
125354,LT,Industrials,10.56,2025-12-31
125354,BAJFINANCE,Financials,8.8,2025-12-31
125354,ASIANPAINT,Materials,5.28,2025-12-31
125354,ITC,FMCG,10.21,2025-12-31
120847,AXISBANK,Financials,11.59,2025-12-31
120847,TITAN,Consumer,6.29,2025-12-31
120847,ITC,FMCG,9.6,2025-12-31
120847,INFY,IT,19.21,2025-12-31
120847,RELIANCE,Energy,28.15,2025-12-31
120847,MARUTI,Auto,7.62,2025-12-31
120847,NTPC,Utilities,6.95,2025-12-31
120847,KOTAKBANK,Financials,10.6,2025-12-31
119775,KOTAKBANK,Financials,11.85,2025-12-31
119775,LT,Industrials,11.11,2025-12-31
119775,HDFC BANK,Financials,26.67,2025-12-31
119775,MARUTI,Auto,8.52,2025-12-31
119775,SUNPHARMA,Healthcare,10.0,2025-12-31
119775,POWERGRID,Utilities,5.93,2025-12-31
119775,NTPC,Utilities,7.78,2025-12-31
119775,TCS,IT,18.15,2025-12-31
119598,TCS,IT,13.96,2025-12-31
119598,KOTAKBANK,Financials,9.12,2025-12-31
119598,ONGC,Energy,4.84,2025-12-31
119598,ICICI BANK,Financials,14.53,2025-12-31
119598,HCLTECH,IT,3.99,2025-12-31
119598,POWERGRID,Utilities,4.56,2025-12-31
119598,LT,Industrials,8.55,2025-12-31
119598,BHARTI AIRTEL,Telecom,10.83,2025-12-31
119598,TITAN,Consumer,5.41,2025-12-31
119598,RELIANCE,Energy,24.22,2025-12-31
118825,LT,Industrials,7.98,2025-12-31
118825,INFY,IT,15.43,2025-12-31
118825,TCS,IT,13.03,2025-12-31
118825,HCLTECH,IT,3.72,2025-12-31
118825,KOTAKBANK,Financials,8.51,2025-12-31
118825,POWERGRID,Utilities,4.26,2025-12-31
118825,TITAN,Consumer,5.05,2025-12-31
118825,ITC,FMCG,7.71,2025-12-31
118825,RELIANCE,Energy,22.61,2025-12-31
118825,SUNPHARMA,Healthcare,7.18,2025-12-31
118825,ONGC,Energy,4.52,2025-12-31
120503,BHARTI AIRTEL,Telecom,9.97,2025-12-31
120503,AXISBANK,Financials,9.19,2025-12-31
120503,INFY,IT,15.22,2025-12-31
120503,ASIANPAINT,Materials,3.94,2025-12-31
120503,TCS,IT,12.86,2025-12-31
120503,BAJFINANCE,Financials,6.56,2025-12-31
120503,HDFC BANK,Financials,18.9,2025-12-31
120503,POWERGRID,Utilities,4.2,2025-12-31
120503,HCLTECH,IT,3.67,2025-12-31
120503,ITC,FMCG,7.61,2025-12-31
120503,LT,Industrials,7.87,2025-12-31
